id,occurrenceID,catalogNumber,basisOfRecord,collectionCode,scientificName,taxonRank,kingdom,family,higherClassification,vernacularName,previousIdentifications,individualCount,lifeStage,sex,longitudeDecimal,latitudeDecimal,geodeticDatum,dataGeneralizations,coordinateUncertaintyInMeters,continent,country,countryCode,stateProvince,locality,habitat,recordedBy,eventID,eventDate,eventTime,samplingProtocol,behavior,associatedTaxa,references,rightsHolder,license,modified
86153257@OBS,https://observation.org/observation/86153257,OBS.86153257,HumanObservation,Observations,Grus grus,species,Animalia,CRANES_GRUIDAE,Animalia|CRANES_GRUIDAE,Common Crane,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153257,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153231@OBS,https://observation.org/observation/86153231,OBS.86153231,HumanObservation,Observations,Alcedo atthis,species,Animalia,KINGFISHERS_ALCEDINIDAE,Animalia|KINGFISHERS_ALCEDINIDAE,Common Kingfisher,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153231,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153082@OBS,https://observation.org/observation/86153082,OBS.86153082,HumanObservation,Observations,Carpodacus erythrinus,species,Animalia,FINCHES_FRINGILLIDAE,Animalia|FINCHES_FRINGILLIDAE,Common Rosefinch,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153082,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86153067@OBS,https://observation.org/observation/86153067,OBS.86153067,HumanObservation,Observations,Phylloscopus collybita,species,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Animalia|LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Common Chiffchaff,NA,1,unknown,undetermined,23.8784703612,52.6904299545,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153067,Stichting Natuurinformatie,CC BY-NC 4.0,2017-12-07
86153052@OBS,https://observation.org/observation/86153052,OBS.86153052,HumanObservation,Observations,Phylloscopus collybita,species,Animalia,LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Animalia|LEAF_WARBLERS_AND_ALLIES_PHYLLOSCOPIDAE,Common Chiffchaff,NA,1,unknown,undetermined,23.878198117,52.690430361,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86153052,Stichting Natuurinformatie,CC BY-NC 4.0,2018-01-03
86150204@OBS,https://observation.org/observation/86150204,OBS.86150204,HumanObservation,Observations,Capreolus capreolus,species,Animalia,DEER_CERVIDAE,Animalia|DEER_CERVIDAE,European Roe Deer,NA,1,unknown,undetermined,23.8616475463,52.698596928,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86150204,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86150036@OBS,https://observation.org/observation/86150036,OBS.86150036,HumanObservation,Observations,Lanius collurio,species,Animalia,SHRIKES_LANIIDAE,Animalia|SHRIKES_LANIIDAE,Red-backed Shrike,NA,1,unknown,undetermined,23.8616475463,52.698596928,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86150036,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86149951@OBS,https://observation.org/observation/86149951,OBS.86149951,HumanObservation,Observations,Saxicola rubetra,species,Animalia,OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Animalia|OLD_WORLD_FLYCATCHERS_MUSCICAPIDAE,Whinchat,NA,1,unknown,undetermined,23.8616475463,52.698596928,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86149951,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86149924@OBS,https://observation.org/observation/86149924,OBS.86149924,HumanObservation,Observations,Ciconia ciconia,species,Animalia,STORKS_CICONIIDAE,Animalia|STORKS_CICONIIDAE,White Stork,NA,1,unknown,undetermined,23.8616475463,52.698596928,WGS84,NA,100,Europe,Poland,PL,NA,Poland - Białowieża,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86149924,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
86139722@OBS,https://observation.org/observation/86139722,OBS.86139722,HumanObservation,Observations,Anas platyrhynchos,species,Animalia,DUCKS_GEESE_AND_SWANS_ANATIDAE,Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE,Mallard,NA,1,unknown,undetermined,23.8419916481,52.7012761801,WGS84,NA,10,Europe,Poland,PL,NA,Poland - Białowieża - Palace Park,NA,NA,NA,2014-07-08,NA,NA,NA,NA,https://data.biodiversitydata.nl/obsint/observation/OBS.86139722,Stichting Natuurinformatie,CC BY-NC 4.0,2014-07-08
